Name,TotalApps,TotalAdmit,TotalEnroll,SATPercent,ACTPercent,SAT25,SAT75,ACT25,ACT75,AssocDegree,PercentAdmit,Tuition14,InStateTuition14,OutofStateTuition14,State,Region,Type,Location,UnderGradEnroll,FTUnderGradEnroll,PTUnderGradEnroll,BlackPercent,LatinPercent,WomenPercent,4yrGradRate,5yrGradRate,6yrGradRate,FinAidPercent,AnyFinAidPercent,FedGrantPercent,PellGrantPercent
Bloomsburg University of Pennsylvania,9248,8190,2218,97,12,440,530,19,23,0,89,8582,22182,32306,Pennsylvania,Mid East,Public,Small City,9416,8813,603,8,5,56,42,60,62,84,44,32,32
Blue Mountain College,585,326,83,4,96,410,540,18,25,0,56,9470,17550,17550,Mississippi,Southeast,Private,Distant Rural,520,453,67,10,2,58,37,51,51,97,97,46,46
Bluefield College,1042,597,118,74,41,390,500,16,21,0,57,22390,35560,35560,Virginia,Southeast,Private,Remote Town,837,723,114,22,3,55,38,44,45,100,100,50,50
Bluefield State College,1125,480,306,16,72,410,500,17,21,95,43,5564,,,West Virginia,Southeast,Public,Remote Town,1747,1440,307,10,1,62,6,13,18,95,90,63,63
Bluffton University,1784,947,250,12,94,430,560,19,25,0,53,28504,41864,41864,Ohio,Great Lakes,Private,Distant Town,1053,838,215,6,3,50,52,58,60,100,100,41,41
Boise State University,7832,6082,2205,76,56,460,570,20,26,165,78,6292,20944,33544,Idaho,Rocky Mountains,Public,Midsize City,19026,12452,6574,1,9,54,11,30,38,80,71,35,35
Boston College,24538,7905,2215,75,44,620,710,30,33,0,32,45622,60706,60706,Massachusetts,New England,Private,Small City,9698,9390,308,4,10,53,89,91,91,59,45,15,15
Boston University,44006,20071,3877,84,40,570,670,26,30,0,46,44880,61446,61446,Massachusetts,New England,Private,Large City,18165,16593,1572,3,9,60,80,84,84,62,54,15,15
Bowdoin College,7052,1054,497,53,27,680,760,30,33,0,15,45446,59900,59900,Maine,New England,Private,Fringe Town,1795,1791,4,5,12,50,88,92,93,50,50,14,14
Bowie State University,3986,2063,627,86,14,410,490,17,20,0,52,6971,20107,30674,Maryland,Mid East,Public,Large Suburb,4358,3521,837,89,3,62,13,27,35,90,70,52,52
Bowling Green State University-Main Campus,15689,11370,3348,15,92,440,560,19,24,0,72,10726,23506,30814,Ohio,Great Lakes,Public,Fringe Town,14477,13387,1090,10,4,56,31,51,54,96,87,36,36
Bradley University,8969,6004,1085,7,97,500,640,23,28,0,67,29664,42090,42090,Illinois,Great Lakes,Private,Midsize City,4825,4618,207,6,6,52,55,73,76,99,98,23,23
Brandeis University,9496,3517,833,75,28,600,710,28,32,0,37,45856,61070,61070,Massachusetts,New England,Private,Small City,3614,3599,15,5,7,57,86,89,90,65,57,18,18
Brenau University,2160,1691,206,84,44,440,550,19,21,9,78,23350,38528,38528,Georgia,Southeast,Private,Small City,1700,1074,626,31,6,89,30,40,45,97,97,57,57
Brevard College,2299,1032,245,76,48,420,520,18,22,0,45,25200,37000,37000,North Carolina,Southeast,Private,Fringe Town,701,690,11,10,0,38,31,41,43,99,99,44,44
Brewton-Parker College,475,244,150,75,51,400,490,17,20,9,51,13560,24786,24786,Georgia,Southeast,Private,Distant Rural,693,503,190,24,3,46,10,13,15,100,100,57,57
Bridgewater College,5401,2967,536,85,16,460,560,20,25,0,55,29090,43310,43310,Virginia,Southeast,Private,Small Suburb,1848,1840,8,9,3,55,52,59,60,100,100,30,30
Bridgewater State University,5920,4653,1476,94,4,440,540,19,24,0,79,8053,22753,28893,Massachusetts,New England,Public,Large Suburb,9615,8034,1581,8,5,58,29,52,58,79,64,30,29
Brigham Young University-Hawaii,2664,960,516,34,73,470,590,21,26,117,36,4770,16564,16564,Hawaii,Far West,Private,Fringe Town,2882,2505,377,0,5,56,28,35,45,78,70,22,22
Brigham Young University-Idaho,6690,6665,3448,37,84,450,560,20,25,1939,100,3850,11398,11398,Idaho,Rocky Mountains,Private,Distant Town,27692,14376,13316,1,5,57,22,41,54,71,64,26,26
Brigham Young University-Provo,11423,5645,4427,32,93,570,680,26,31,0,49,4850,17496,17496,Utah,Rocky Mountains,Private,Midsize City,27765,25084,2681,0,6,46,31,55,78,67,49,17,17
